query_item,recommended_item,rank,algorithm,basket_type,condition,segment_id,support,confidence,lift
moveis_decoracao,cama_mesa_banho,2,FP-Growth,category,Inverno,,0.028084252758274825,0.1761006289308176,0.6805128955194772
moveis_decoracao,diversified_other,3,FP-Growth,category,Inverno,,0.0320962888665998,0.2012578616352201,0.35831087151841867
music_homecomfort,gifts_household,1,FP-Growth,category,Inverno,,0.0010030090270812437,0.14285714285714285,1.24937343358396
music_homecomfort,diversified_other,2,FP-Growth,category,Inverno,,0.0010030090270812437,0.14285714285714285,0.2543367346938775
cama_mesa_banho,moveis_decoracao,1,FP-Growth,category,Outono,,0.01583949313621964,0.0646551724137931,0.41370573159366253
cama_mesa_banho,diversified_other,2,FP-Growth,category,Outono,,0.014783526927138331,0.0603448275862069,0.11249321205538963
construcao_ferramentas_jardim,moveis_decoracao,1,FP-Growth,category,Outono,,0.0021119324181626186,0.2222222222222222,1.4219219219219217
electronics_misc,gifts_household,1,FP-Growth,category,Outono,,0.004223864836325237,0.14814814814814814,1.4171343060231947
electronics_misc,diversified_other,2,FP-Growth,category,Outono,,0.008447729672650475,0.2962962962962963,0.552347623213765
electronics_misc,moveis_decoracao,3,FP-Growth,category,Outono,,0.0021119324181626186,0.07407407407407407,0.4739739739739739
electronics_misc,cama_mesa_banho,4,FP-Growth,category,Outono,,0.0031678986272439284,0.11111111111111112,0.45354406130268204
fashion_bolsas_e_acessorios,gifts_household,1,FP-Growth,category,Outono,,0.0031678986272439284,0.08333333333333334,0.7971380471380471
fashion_bolsas_e_acessorios,diversified_other,2,FP-Growth,category,Outono,,0.0031678986272439284,0.08333333333333334,0.1553477690288714
gifts_household,moveis_decoracao,1,FP-Growth,category,Outono,,0.014783526927138331,0.1414141414141414,0.9048594048594047
gifts_household,diversified_other,2,FP-Growth,category,Outono,,0.022175290390707498,0.21212121212121213,0.39543068480076354
gifts_household,cama_mesa_banho,3,FP-Growth,category,Outono,,0.006335797254487857,0.06060606060606061,0.2473876698014629
livros_tecnicos,moveis_decoracao,1,FP-Growth,category,Outono,,0.0010559662090813093,0.3333333333333333,2.1328828828828827
livros_tecnicos,diversified_other,2,FP-Growth,category,Outono,,0.0010559662090813093,0.3333333333333333,0.6213910761154855
moveis_decoracao,gifts_household,1,FP-Growth,category,Outono,,0.014783526927138331,0.09459459459459459,0.9048594048594047
moveis_decoracao,cama_mesa_banho,2,FP-Growth,category,Outono,,0.01583949313621964,0.10135135135135133,0.41370573159366253
moveis_decoracao,diversified_other,3,FP-Growth,category,Outono,,0.026399155227032733,0.1689189189189189,0.3148941264098744
music_homecomfort,moveis_decoracao,1,FP-Growth,category,Outono,,0.0010559662090813093,0.14285714285714285,0.914092664092664
music_homecomfort,diversified_other,2,FP-Growth,category,Outono,,0.0021119324181626186,0.2857142857142857,0.5326209223847019
cama_mesa_banho,moveis_decoracao,1,FP-Growth,category,Primavera,,0.031141868512110725,0.10909090909090909,0.7881818181818181
diversified_other,gifts_household,1,FP-Growth,category,Primavera,,0.029411764705882353,0.06666666666666667,0.414336917562724
electronics_misc,gifts_household,1,FP-Growth,category,Primavera,,0.015570934256055362,0.4736842105263158,2.943972835314092
electronics_misc,cama_mesa_banho,2,FP-Growth,category,Primavera,,0.005190311418685121,0.15789473684210528,0.55311004784689
electronics_misc,diversified_other,3,FP-Growth,category,Primavera,,0.006920415224913495,0.2105263157894737,0.4771929824561404
electronics_misc,moveis_decoracao,4,FP-Growth,category,Primavera,,0.0017301038062283738,0.052631578947368425,0.38026315789473686
gifts_household,electronics_misc,1,FP-Growth,category,Primavera,,0.015570934256055362,0.0967741935483871,2.9439728353140917
gifts_household,diversified_other,2,FP-Growth,category,Primavera,,0.029411764705882353,0.1827956989247312,0.41433691756272406
gifts_household,cama_mesa_banho,3,FP-Growth,category,Primavera,,0.00865051903114187,0.05376344086021506,0.18833496252851095
moveis_decoracao,cama_mesa_banho,1,FP-Growth,category,Primavera,,0.031141868512110725,0.22499999999999998,0.7881818181818181
moveis_decoracao,diversified_other,2,FP-Growth,category,Primavera,,0.00865051903114187,0.0625,0.14166666666666666
cama_mesa_banho,moveis_decoracao,1,FP-Growth,category,Verão,,0.023952095808383235,0.10457516339869281,0.7938205585264408
cama_mesa_banho,diversified_other,2,FP-Growth,category,Verão,,0.014970059880239521,0.06535947712418301,0.11281687524277584
construcao_ferramentas_jardim,diversified_other,1,FP-Growth,category,Verão,,0.0014970059880239522,0.33333333333333337,0.5753660637381568
electronics_misc,gifts_household,1,FP-Growth,category,Verão,,0.010479041916167664,0.38888888888888884,3.9965811965811957
electronics_misc,moveis_decoracao,2,FP-Growth,category,Verão,,0.0029940119760479044,0.11111111111111112,0.8434343434343434
electronics_misc,diversified_other,3,FP-Growth,category,Verão,,0.005988023952095809,0.22222222222222224,0.3835773758254378
electronics_misc,cama_mesa_banho,4,FP-Growth,category,Verão,,0.0014970059880239522,0.05555555555555556,0.24255628177196806
fashion_apparel,fashion_bolsas_e_acessorios,1,FP-Growth,category,Verão,,0.0014970059880239522,1.0,26.720000000000002
gifts_household,electronics_misc,1,FP-Growth,category,Verão,,0.010479041916167664,0.10769230769230768,3.996581196581196
gifts_household,moveis_decoracao,2,FP-Growth,category,Verão,,0.008982035928143712,0.0923076923076923,0.7006993006993005
gifts_household,cama_mesa_banho,3,FP-Growth,category,Verão,,0.005988023952095809,0.06153846153846154,0.2686777275012569
gifts_household,diversified_other,4,FP-Growth,category,Verão,,0.014970059880239521,0.15384615384615383,0.26555356787914924
moveis_decoracao,cama_mesa_banho,1,FP-Growth,category,Verão,,0.023952095808383235,0.18181818181818182,0.7938205585264408
moveis_decoracao,gifts_household,2,FP-Growth,category,Verão,,0.008982035928143712,0.06818181818181818,0.7006993006993006
moveis_decoracao,diversified_other,3,FP-Growth,category,Verão,,0.019461077844311378,0.1477272727272727,0.25499177824759217
music_homecomfort,fashion_bolsas_e_acessorios,1,FP-Growth,category,Verão,,0.0014970059880239522,0.5,13.360000000000001
music_homecomfort,diversified_other,2,FP-Growth,category,Verão,,0.0029940119760479044,1.0,1.7260981912144702
