antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.25329153605015675,0.14890282131661442,0.02413793103448276,0.09529702970297028,0.6399947889525793,1.0,-0.01357789329900453,0.940747633893537,-0.42965446042091643,0.06384742951907131,-0.06298433710774394,0.1287011464304325
frozenset({'music_homecomfort'}),frozenset({'diversified_other'}),0.005015673981191223,0.5360501567398119,0.001567398119122257,0.31249999999999994,0.5829678362573099,1.0,-0.0011212547046510948,0.6748361356511826,-0.4182551319648095,0.0029052876234747236,-0.4818412162162164,0.15771198830409355
frozenset({'music_homecomfort'}),frozenset({'gifts_household'}),0.005015673981191223,0.11630094043887147,0.00031347962382445143,0.0625,0.5373989218328841,1.0,-0.0002698479771228663,0.9426123301985371,-0.46385135135135136,0.0025906735751295338,-0.06088151826888968,0.03259770889487871
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.02884012539184953,0.14890282131661442,0.00219435736677116,0.07608695652173914,0.5109839816933639,1.0,-0.002100018671200165,0.9211875345749586,-0.4963303604607952,0.0125,-0.08555528865401552,0.04541189931350115
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.02884012539184953,0.5360501567398119,0.007210031347962382,0.25,0.46637426900584794,1.0,-0.00824972238873439,0.6185997910135841,-0.540901007705987,0.012928611579539066,-0.6165540540540542,0.1317251461988304
frozenset({'electronics_misc'}),frozenset({'cama_mesa_banho'}),0.02884012539184953,0.25329153605015675,0.003134796238244514,0.10869565217391304,0.4291325871717606,1.0,-0.004170163422136182,0.8377704717486046,-0.5780211398060369,0.011235955056179775,-0.19364436169824412,0.06053594489883771
frozenset({'music_homecomfort'}),frozenset({'moveis_decoracao'}),0.005015673981191223,0.14890282131661442,0.00031347962382445143,0.0625,0.4197368421052632,1.0,-0.0004333683827792573,0.9078369905956113,-0.5814873417721519,0.0020408163265306124,-0.10151933701657458,0.03230263157894737
frozenset({'livros_tecnicos'}),frozenset({'diversified_other'}),0.0028213166144200625,0.5360501567398119,0.0006269592476489029,0.22222222222222227,0.41455490578297605,1.0,-0.0008854079657236073,0.5965069413345276,-0.5861306271142337,0.0011648223645894002,-0.6764264264264264,0.11169590643274856
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.11630094043887147,0.5360501567398119,0.023510971786833857,0.20215633423180593,0.37712205040904145,1.0,-0.03883216556441073,0.5815047021943573,-0.6514503325997181,0.03738783649052841,-0.7196765498652292,0.12300799167730647
frozenset({'construcao_ferramentas_jardim'}),frozenset({'cama_mesa_banho'}),0.007836990595611285,0.25329153605015675,0.0006269592476489029,0.08000000000000002,0.3158415841584159,1.0,-0.001358084138324112,0.8116396347280905,-0.6858560794044662,0.0024067388688327317,-0.2320738874895046,0.041237623762376246
frozenset({'moveis_decoracao'}),frozenset({'diversified_other'}),0.14890282131661442,0.5360501567398119,0.023510971786833857,0.15789473684210528,0.2945521698984303,1.0,-0.056308408918937514,0.5509404388714734,-0.7378078223080637,0.035545023696682464,-0.8150782361308677,0.10087719298245615
frozenset({'gifts_household'}),frozenset({'cama_mesa_banho'}),0.11630094043887147,0.25329153605015675,0.007210031347962382,0.06199460916442048,0.2447559445971551,1.0,-0.022248012499877165,0.7960598854177926,-0.7773722251789792,0.019896193771626297,-0.2561869004053311,0.04522997784953697
