antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,condition,algorithm,basket_type
frozenset({'livros_tecnicos'}),frozenset({'moveis_decoracao'}),0.0031678986272439284,0.1562829989440338,0.0010559662090813093,0.3333333333333333,2.1328828828828827,1.0,0.0005608775112649403,1.2655755015839492,0.5328389830508474,0.006666666666666665,0.20984564038381306,0.17004504504504503,Outono,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'diversified_other'}),0.0029940119760479044,0.5793413173652695,0.0029940119760479044,1.0,1.7260981912144702,1.0,0.0012594571336369178,inf,0.4219219219219219,0.00516795865633075,1.0,0.5025839793281653,Verão,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'moveis_decoracao'}),0.009503695881731784,0.1562829989440338,0.0021119324181626186,0.2222222222222222,1.4219219219219217,1.0,0.0006266663247135118,1.0847790013576708,0.29957356076759056,0.012903225806451613,0.07815324711444858,0.11786786786786786,Outono,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.028511087645195353,0.10454065469904963,0.004223864836325237,0.14814814814814814,1.4171343060231947,1.0,0.0012432970677145297,1.0511914053532896,0.30298913043478254,0.032786885245901634,0.04869846261355694,0.09427609427609426,Outono,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'gifts_household'}),0.007021063189568706,0.11434302908726178,0.0010030090270812437,0.14285714285714285,1.24937343358396,1.0,0.00020019939457288616,1.0332664660648612,0.201010101010101,0.008333333333333333,0.03219543763145122,0.07581453634085213,Inverno,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'gifts_household'}),0.009027081243731194,0.11434302908726178,0.0010030090270812437,0.1111111111111111,0.9717348927875243,1.0,-2.917478614378752e-05,0.9963640922768305,-0.02851524090462152,0.00819672131147541,-0.0036491757896061415,0.059941520467836254,Inverno,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'moveis_decoracao'}),0.007391763463569166,0.1562829989440338,0.0010559662090813093,0.14285714285714285,0.914092664092664,1.0,-9.924075249021815e-05,0.9843365012319606,-0.08649173955296408,0.006493506493506491,-0.01591274807795461,0.0748069498069498,Outono,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'moveis_decoracao'}),0.10454065469904963,0.1562829989440338,0.014783526927138331,0.1414141414141414,0.9048594048594047,1.0,-0.0015544001008018452,0.9826821541710666,-0.10508065731946344,0.06008583690987123,-0.017623038899634662,0.118004368004368,Outono,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'gifts_household'}),0.1562829989440338,0.10454065469904963,0.014783526927138331,0.09459459459459459,0.9048594048594047,1.0,-0.0015544001008018452,0.9890147992876169,-0.11081081081081096,0.06008583690987123,-0.011107215706272324,0.118004368004368,Outono,FP-Growth,category
frozenset({'livros_tecnicos'}),frozenset({'diversified_other'}),0.0020060180541624875,0.5616850551654965,0.0010030090270812437,0.5,0.8901785714285714,1.0,-0.00012374133433399508,0.876629889669007,-0.11001788908765664,0.0017825311942959005,-0.14073226544622428,0.25089285714285714,Inverno,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'cama_mesa_banho'}),0.009027081243731194,0.2587763289869609,0.0020060180541624875,0.2222222222222222,0.858742463393626,1.0,-0.0003299768915573202,0.9530018627310503,-0.14236111111111122,0.007547169811320755,-0.04931589234701553,0.11498708010335916,Inverno,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.02694610778443114,0.1317365269461078,0.0029940119760479044,0.11111111111111112,0.8434343434343434,1.0,-0.0005557746781885333,0.9767964071856288,-0.16020671834625327,0.019230769230769232,-0.023754789272030657,0.06691919191919192,Verão,FP-Growth,category
frozenset({'fashion_bolsas_e_acessorios'}),frozenset({'gifts_household'}),0.03801478352692714,0.10454065469904963,0.0031678986272439284,0.08333333333333334,0.7971380471380471,1.0,-0.0008061917309036817,0.9768647403283096,-0.20920138888888884,0.022727272727272728,-0.023683176100628926,0.05681818181818182,Outono,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.1317365269461078,0.22904191616766467,0.023952095808383235,0.18181818181818182,0.7938205585264408,1.0,-0.006221090752626484,0.9422821024617433,-0.23025879230258792,0.07111111111111111,-0.06125330979699911,0.14319667260843733,Verão,FP-Growth,category
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.22904191616766467,0.1317365269461078,0.023952095808383235,0.10457516339869281,0.7938205585264408,1.0,-0.006221090752626484,0.9696665064032518,-0.25199709513435004,0.07111111111111111,-0.03128239801667795,0.14319667260843733,Verão,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.1384083044982699,0.28546712802768165,0.031141868512110725,0.22499999999999998,0.7881818181818181,1.0,-0.008369152668191236,0.9219778993191203,-0.2377551020408164,0.07929515418502202,-0.08462469733656176,0.16704545454545452,Primavera,FP-Growth,category
